function,input_size,clock_cycle
1,500,1317455
2,500,1889499
1,500,1324303
2,500,1942684
1,500,1331092
2,500,1898142
1,500,1334181
2,500,1938486
1,500,1313532
2,500,1891172
1,500,1329282
2,500,1890384
1,500,1352997
2,500,1892762
1,500,1327539
2,500,1990145
1,500,1372737
2,500,1890018
1,500,1292468
2,500,1890417
1,500,1346763
2,500,1945711
1,500,1315213
2,500,1889476
1,500,1312394
2,500,1947397
1,500,1334592
2,500,1890054
1,500,1349330
2,500,1971190
1,500,1335968
2,500,1918161
1,500,1331053
2,500,1890885
1,500,1390137
2,500,1891661
1,500,1308889
2,500,1889484
1,500,1366652
2,500,1890184
1,500,1290429
2,500,1890704
1,500,1303040
2,500,2020894
1,500,1336086
2,500,1889494
1,500,1353320
2,500,2050904
1,500,1300180
2,500,1892770
1,500,1282219
2,500,1967855
1,500,1341719
2,500,1889637
1,500,1302382
2,500,1943523
1,500,1388930
2,500,1892306
1,500,1321714
2,500,1890535
1,500,1387313
2,500,1891556
1,500,1287461
2,500,1891215
1,500,1301194
2,500,1930576
1,500,1289643
2,500,1891635
1,500,1312390
2,500,1929556
1,500,1321967
2,500,1889776
1,500,1347677
2,500,1901612
1,500,1349769
2,500,1906387
1,500,1329830
2,500,1902838
1,500,1404342
2,500,1944689
1,500,1334046
2,500,1943326
1,500,1309197
2,500,1932757
1,500,1341211
2,500,1892594
1,500,1319952
2,500,1937309
1,500,1397313
2,500,1891909
1,500,1289174
2,500,1983395
1,500,1306760
2,500,1911450
1,500,1338647
2,500,1918489
1,500,1340484
2,500,1890816
1,500,1324224
2,500,1891248
1,500,1350477
2,500,1911690
1,500,1300430
2,500,1890632
1,500,1319444
2,500,1991473
1,500,1321339
2,500,1914243
1,500,1343058
2,500,1962743
1,500,1359672
2,500,1964229
1,500,1384350
2,500,2130291
1,500,1547539
2,500,2635596
1,500,1599862
2,500,2829026
1,500,1663807
2,500,2874110
1,500,1720966
2,500,2787058
1,500,1631888
2,500,2950370
1,500,1721874
2,500,2877453
1,500,1730580
2,500,2876420
1,500,1680333
2,500,2923784
1,500,1683731
2,500,2927904
1,500,1615139
2,500,2200217
1,500,1470365
2,500,2114523
1,500,1444118
2,500,2110411
1,500,1397186
2,500,1966397
1,500,1293709
2,500,1948062
1,500,1352746
2,500,1947271
1,1000,2817869
2,1000,3904895
1,1000,2640847
2,1000,3834091
1,1000,2626524
2,1000,4003864
1,1000,2685794
2,1000,3868704
1,1000,2638132
2,1000,3841554
1,1000,2695228
2,1000,3848934
1,1000,2748612
2,1000,3895582
1,1000,2691842
2,1000,3888045
1,1000,2740193
2,1000,3780749
1,1000,2692410
2,1000,3778487
1,1000,2633106
2,1000,3854607
1,1000,2742283
2,1000,3831354
1,1000,2666961
2,1000,3921896
1,1000,2646234
2,1000,3868795
1,1000,2722358
2,1000,3873864
1,1000,2623365
2,1000,3858532
1,1000,2660308
2,1000,3866902
1,1000,2693839
2,1000,3900934
1,1000,2625287
2,1000,3822366
1,1000,2717217
2,1000,3811860
1,1000,2706545
2,1000,3802631
1,1000,2712693
2,1000,3779263
1,1000,2690219
2,1000,3917914
1,1000,2697192
2,1000,3867677
1,1000,2698931
2,1000,3838429
1,1000,2610468
2,1000,3834348
1,1000,2595109
2,1000,3833366
1,1000,2691776
2,1000,3900364
1,1000,2689643
2,1000,3810615
1,1000,2806948
2,1000,3839263
1,1000,2719080
2,1000,4023729
1,1000,2754623
2,1000,3850647
1,1000,2824183
2,1000,3926203
1,1000,2801168
2,1000,3896162
1,1000,2697175
2,1000,3911359
1,1000,2720203
2,1000,3850082
1,1000,2646073
2,1000,3835265
1,1000,2671224
2,1000,3833403
1,1000,2606001
2,1000,4056599
1,1000,2692785
2,1000,3979145
1,1000,2689964
2,1000,4182164
1,1000,2745171
2,1000,4492551
1,1000,2715090
2,1000,3974239
1,1000,2730232
2,1000,3814953
1,1000,2697598
2,1000,3798563
1,1000,2674696
2,1000,4231505
1,1000,2869162
2,1000,4317114
1,1000,2927278
2,1000,4908401
1,1000,3063405
2,1000,4197716
1,1000,2998668
2,1000,4128823
1,1000,2998258
2,1000,4235698
1,1000,2963854
2,1000,4160195
1,1000,2901347
2,1000,4016332
1,1000,2920059
2,1000,4281354
1,1000,2725116
2,1000,3997657
1,1000,2728013
2,1000,3829088
1,1000,2781410
2,1000,3780561
1,1000,2573529
2,1000,3884620
1,1000,2690561
2,1000,3862590
1,1000,2683042
2,1000,3851305
1,1000,2709417
2,1000,3875424
1,1000,2602136
2,1000,4228875
1,1000,2721132
2,1000,3879954
1,1000,2620850
2,1000,3801358
1,1000,2669303
2,1000,3780636
1,1000,2741103
2,1000,3800985
1,1000,2754034
2,1000,3821979
1,1000,2739345
2,1000,3779551
1,1000,2605270
2,1000,3870237
1,1000,2558565
2,1000,4144228
1,1000,2664889
2,1000,3859179
1,1000,2581305
2,1000,3849924
1,1000,2713098
2,1000,4038642
1,1000,2683881
2,1000,3840788
1,1000,2688865
2,1000,3823416
1,1000,2589726
2,1000,3825283
1,1000,2692377
2,1000,3780846
1,1000,2633230
2,1000,3989689
1,1000,2686672
2,1000,3774024
1,1000,2823054
2,1000,3783439
1,1000,2569155
2,1000,3843194
1,1000,2648960
2,1000,3829977
1,1000,2652250
2,1000,3909107
1,1000,2574693
2,1000,3878766
1,1000,2665370
2,1000,3944964
1,1000,2622271
2,1000,3857393
1,1000,2745753
2,1000,3797393
1,1000,2649382
2,1000,3781494
1,1000,2696307
2,1000,3795379
1,1000,2630738
2,1000,3793091
1,1000,2604532
2,1000,3832985
1,1000,2635832
2,1000,3851357
1,1000,2676606
2,1000,3855978
1,1000,2709510
2,1000,3888290
1,1000,2747957
2,1000,3880456
1,1000,2659732
2,1000,3833619
1,1000,2697384
2,1000,3782245
1,1000,2726559
2,1000,3797651
1,1000,2682052
2,1000,3779658
1,1000,2684564
2,1000,3781996
1,2000,5345657
2,2000,7935415
1,2000,5258012
2,2000,7778627
1,2000,5186526
2,2000,7911544
1,2000,5394851
2,2000,7977193
1,2000,5377089
2,2000,7919683
1,2000,5249941
2,2000,7712928
1,2000,5453695
2,2000,7778134
1,2000,5392391
2,2000,7719619
1,2000,5269935
2,2000,8151933
1,2000,5366789
2,2000,7865580
1,2000,5533153
2,2000,7629952
1,2000,5375497
2,2000,7736547
1,2000,5465008
2,2000,7938473
1,2000,5292603
2,2000,9339554
1,2000,6553969
2,2000,11706658
1,2000,6719149
2,2000,12018520
1,2000,6924943
2,2000,12193311
1,2000,7003323
2,2000,9671875
1,2000,5670566
2,2000,7913720
1,2000,5465953
2,2000,7904535
1,2000,5317879
2,2000,7640551
1,2000,5391142
2,2000,7668309
1,2000,5427589
2,2000,7732739
1,2000,5452866
2,2000,7659528
1,2000,5311220
2,2000,7712805
1,2000,5238507
2,2000,7682111
1,2000,5250493
2,2000,7688369
1,2000,5439843
2,2000,7698038
1,2000,5381404
2,2000,7683281
1,2000,5233152
2,2000,7660449
1,2000,5444154
2,2000,7922456
1,2000,5287776
2,2000,7853003
1,2000,5360055
2,2000,7716986
1,2000,5286108
2,2000,7718696
1,2000,5326763
2,2000,7756167
1,2000,5434542
2,2000,7741973
1,2000,5278450
2,2000,7676961
1,2000,5660910
2,2000,8607245
1,2000,6468018
2,2000,10637576
1,2000,5792972
2,2000,7946076
1,2000,5478425
2,2000,7871920
1,2000,5483620
2,2000,7719680
1,2000,5378876
2,2000,7728205
1,2000,5490398
2,2000,7601726
1,2000,5438480
2,2000,7893064
1,2000,5331281
2,2000,7605565
1,2000,5376417
2,2000,7629042
1,2000,5551122
2,2000,7546982
1,2000,5376547
2,2000,7566164
1,2000,5444346
2,2000,7640264
1,2000,5403516
2,2000,7618410
1,2000,5549556
2,2000,7625634
1,2000,5399301
2,2000,7691938
1,2000,5458443
2,2000,9161311
1,2000,5675770
2,2000,7718945
1,2000,5537931
2,2000,7737784
1,2000,5387977
2,2000,7647986
1,2000,5442748
2,2000,7611472
1,2000,5380083
2,2000,7725253
1,2000,5647536
2,2000,7699509
1,2000,5485846
2,2000,8151620
1,2000,5553199
2,2000,8202008
1,2000,5469370
2,2000,8249589
1,2000,5829445
2,2000,9632268
1,2000,5598024
2,2000,7885468
1,2000,5669586
2,2000,7987337
1,2000,5509707
2,2000,7933797
1,2000,5389836
2,2000,7736916
1,2000,5532129
2,2000,7642805
1,2000,5424523
2,2000,7637965
1,2000,5332830
2,2000,7878023
1,2000,5178150
2,2000,7787571
1,2000,5290862
2,2000,7749291
1,2000,5569905
2,2000,7830824
1,2000,5235243
2,2000,7776451
1,2000,5344767
2,2000,7646749
1,2000,5241844
2,2000,7640577
1,2000,5232867
2,2000,7747584
1,2000,5507292
2,2000,7962141
1,2000,5429129
2,2000,7646825
1,2000,5353888
2,2000,7615830
1,2000,5314392
2,2000,7688118
1,2000,5352375
2,2000,7968161
1,2000,5429183
2,2000,7843773
1,2000,5569641
2,2000,7631272
1,2000,5308053
2,2000,7665581
1,2000,5461207
2,2000,7804998
1,2000,5254274
2,2000,7834157
1,2000,5353406
2,2000,7637257
1,2000,5499591
2,2000,7615843
1,2000,5289229
2,2000,7754180
1,2000,5431483
2,2000,7631574
1,2000,5326471
2,2000,7614082
1,2000,5283609
2,2000,7662473
1,2000,5262625
2,2000,7611395
1,2000,5302992
2,2000,7624860
1,2000,5377022
2,2000,7611332
1,2000,5438110
2,2000,7684286
1,2000,5355199
2,2000,7628714
1,2000,5483079
2,2000,7696915
1,5000,13534118
2,5000,19110224
1,5000,13502822
2,5000,19106628
1,5000,14200592
2,5000,19962834
1,5000,13465639
2,5000,19508906
1,5000,13106053
2,5000,19660708
1,5000,13466243
2,5000,19177912
1,5000,13599872
2,5000,19030755
1,5000,13152357
2,5000,19236047
1,5000,13225853
2,5000,19172444
1,5000,13592879
2,5000,19164345
1,5000,13392243
2,5000,19140058
1,5000,13530844
2,5000,19053788
1,5000,13454608
2,5000,19463640
1,5000,13382458
2,5000,21253706
1,5000,14910811
2,5000,22202391
1,5000,15469919
2,5000,22017557
1,5000,14707153
2,5000,20902047
1,5000,13857477
2,5000,19384152
1,5000,13195982
2,5000,19725571
1,5000,13211312
2,5000,19385182
1,5000,13508902
2,5000,19834834
1,5000,13458200
2,5000,19693005
1,5000,13361752
2,5000,19414804
1,5000,13358312
2,5000,19230346
1,5000,13478523
2,5000,19342384
1,5000,13801313
2,5000,22925253
1,5000,14896647
2,5000,20341639
1,5000,13337662
2,5000,19367646
1,5000,13575250
2,5000,19155775
1,5000,13543407
2,5000,19734468
1,5000,13586330
2,5000,19903192
1,5000,13442354
2,5000,20146165
1,5000,13559134
2,5000,20176171
1,5000,13451693
2,5000,19440228
1,5000,13412147
2,5000,19401197
1,5000,14390220
2,5000,19524867
1,5000,13441418
2,5000,19259640
1,5000,13591529
2,5000,20460307
1,5000,13787894
2,5000,19843057
1,5000,13618167
